photo_group,source_images,category,denomination,country,year,mint_mark,design_variety,diameter_mm,weight_g,composition,edge,obverse_text,reverse_text,condition_notes,qty,est_value_low_usd,est_value_high_usd,value_basis,confidence,notes
Set 1,"IMG_1198, IMG_1199",Proof Set,Cent/Nickel/Dime/Quarter/Half Dollar (5 coins),USA,1960,"(none - Philadelphia, pre-1968 proofs unmarked)",1960 U.S. Proof Set in original hard-plastic holder,,,,,Individual coins: LIBERTY / IN GOD WE TRUST + date on each,"Holder engraved: ""U.S. PROOF COINS 1960""","Sealed in period Capital-style plastic holder, light haze/toning visible on cent and nickel, dime/quarter/half show cameo-like mirror fields",1,32,50,"Greysheet/USA Coin Book 2026 guide, large-date vs small-date cent variety affects low/high end",high,"Cent/nickel are base metal; dime, quarter, half are 90% silver. Large-date vs small-date cent variety changes value - check cent closely."
Set 2,IMG_1214,Mint Set,Cent/Nickel/Dime/Quarter/Half Dollar,USA,1974,P (Philadelphia panel photographed),"1974 U.S. Mint Uncirculated Set, sealed cellophane pack",,,,,Kennedy half visible: LIBERTY / IN GOD WE TRUST 1974,n/a (sealed pack),Still factory-sealed in original cellophane with red stripe,1,15,19,Greysheet ($15) / USA Coin Book (~$19) 2026 guide for complete P&D set,high,Only the Philadelphia panel was photographed - full 1974 Mint Set includes a matching Denver (D) panel; check the envelope for a second sealed panel before assuming this is complete.
Set 3,IMG_1215,Mint Set,Cent/Nickel/Dime/Quarter/Half Dollar/SBA Dollar,USA,1998,P&D,"1998 U.S. Mint Uncirculated Set, sealed cellophane pack",,,,,"Susan B. Anthony Dollar (LIBERTY, 1998), Washington quarter, Kennedy half, Roosevelt dime, Jefferson nickel, Lincoln cent all visible",n/a (sealed pack),Factory-sealed cellophane,1,5,7,Greysheet (~$5.50) / USA Coin Book (~$7.20) 2026 guide,high,1998 was the last year of the Susan B. Anthony dollar before the Sacagawea dollar replaced it in 2000 - a small draw for type collectors.
Set 4,IMG_1216,Mint Set,Cent/Nickel/Dime/Quarter/Half Dollar,USA,1999,P&D,"1999 U.S. Mint Uncirculated Set (Delaware state quarter visible), sealed cellophane pack",,,,,"Delaware statehood quarter, Kennedy half, Jefferson nickel, Lincoln cent visible",n/a (sealed pack),Factory-sealed cellophane,1,8,12,General guide range for early 50-States-era mint sets (first year of state quarter program),medium,First year of the 50 State Quarters program - modestly more collector interest than later years.
Set 5,IMG_1217,Commemorative Display Card,Nickel (+ cent visible),USA,2004,P (Philadelphia),"""Westward Journey"" Keelboat Jefferson Nickel on a themed collector card",21.21,5.0,"75% copper, 25% nickel",plain,"UNITED STATES OF AMERICA, LEWIS & CLARK, KEELBOAT, FIVE CENTS","Card text: ""The Westward Journey / Keelboat"", ""Philadelphia Denver 2004""","Uncirculated-looking nickel mounted in card, cent below only partly visible",1,1,3,Common date/mintmark Keelboat nickel is worth face to ~$1 even in high uncirculated grade; card adds small novelty premium,high,Not a full mint set - just the nickel (and a cent) on a promotional display card. No real numismatic premium over face value.
Token 1,IMG_1200,Casino Token,$1.00 (redeemable cash value),USA (Nevada),,,"Aladdin Hotel & Casino (Las Vegas) ""World's 7 Wonders"" series - Eiffel Tower",,,brass/nickel-alloy token metal (not U.S. legal tender),varies,ONE DOLLAR REDEEMABLE CASH VALUE / EIFFEL TOWER / ALADDIN,Aladdin and magic carpet over the casino name (not photographed in this set of images),"Brass-toned token in a plastic capsule, light wear",1,2,5,"eBay/Worthpoint comparables for individual Aladdin World's 7 Wonders tokens (complete 7-piece $2 sets sell around $18, i.e. ~$2.50/token)",high,Aladdin closed/was demolished in 1998 (site is now Planet Hollywood) - defunct-casino tokens like this have modest but real collector demand.
Token 2,IMG_1201,Casino Token,$2.00 (redeemable cash value),USA (Nevada),1996,,"Aladdin Hotel & Casino (Las Vegas) ""World's 7 Wonders"" series",,,brass/nickel-alloy token metal (not U.S. legal tender),varies,TWO DOLLAR REDEEMABLE CASH VALUE / WORLD'S 7 WONDERS / ALADDIN,Aladdin and magic carpet motif,"Brass-toned token in a plastic capsule, light wear, small edge nick",1,2,5,Same comparables as Token 1,high,"Series issued 1996; there were 7 different wonder designs at $2 each - if there are more of these in the bag, a matched set is worth more together than piecemeal."
Exonumia 1,IMG_1202,Elongated Cent (souvenir),Rolled 1 cent,USA,1939,,"1939 New York World's Fair ""The World of Tomorrow"" - Trylon & Perisphere",,,copper (rolled from a genuine one-cent planchet),"smooth, elongated",NEW YORK WORLD'S FAIR 1939 / THE WORLD OF TOMORROW (rolled over Trylon & Perisphere image),"n/a (rolled onto a genuine Lincoln cent planchet, original details erased)","Good detail, brown copper patina, no major creases",1,5,15,"Collector-forum comparables: common 1939 NYWF elongated designs sell for a few dollars, scarcer die varieties up to ~$50; PCGS CoinFacts catalogs this as die variety M&D-1",high,"This is a legitimate 87-year-old souvenir elongated coin, not a modern reproduction - collectible in the elongated-coin (""pressed penny"") hobby, which is a real and organized sub-collecting niche."
Quarter 1,"IMG_1203, IMG_1205, IMG_1206, IMG_1207, IMG_1213",Circulating Quarter,25 cents,USA,2006,not legible in photo,"50 State Quarters - Colorado (""COLORADO 1876"", Rocky Mountains design)",24.26,5.67,copper-nickel clad over pure copper core,reeded,UNITED STATES OF AMERICA / LIBERTY / IN GOD WE TRUST,COLORADO 1876 / mountain landscape,"Circulated, moderate wear",1,0.25,1,Face value; common-date circulated state quarters carry no premium,high,
Quarter 2,"IMG_1203, IMG_1205, IMG_1207, IMG_1213",Circulating Quarter,25 cents,USA,2005,not legible in photo,"50 State Quarters - West Virginia (""WEST VIRGINIA 1863"", New River Gorge Bridge)",24.26,5.67,copper-nickel clad over pure copper core,reeded,UNITED STATES OF AMERICA / LIBERTY / IN GOD WE TRUST,WEST VIRGINIA 1863 / New River Gorge Bridge,"Circulated, light-moderate wear",1,0.25,1,Face value; common-date circulated state quarters carry no premium,high,
